"source_file","start_line","end_line","language","output_file"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","286","288","json","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/015-json.json"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","298","300","bash","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/016-bash.sh"
"parte-ii-primi-progetti/capitolo-06-rest-api.md","345","349","bash","snippets/parte-ii-primi-progetti/capitolo-06-rest-api/017-bash.sh"
"parte-iii-web-fullstack/capitolo-07-database-postgresql.md","30","32","bash","snippets/parte-iii-web-fullstack/capitolo-07-database-postgresql/001-bash.sh"
"parte-iii-web-fullstack/capitolo-07-database-postgresql.md","45","48","bash","snippets/parte-iii-web-fullstack/capitolo-07-database-postgresql/002-bash.sh"
"parte-iii-web-fullstack/capitolo-07-database-postgresql.md","60","110","markdown","snippets/parte-iii-web-fullstack/capitolo-07-database-postgresql/003-markdown.md"
"parte-iii-web-fullstack/capitolo-07-database-postgresql.md","130","142","json","snippets/parte-iii-web-fullstack/capitolo-07-database-postgresql/004-json.json"
"parte-iii-web-fullstack/capitolo-07-database-postgresql.md","182","189","javascript","snippets/parte-iii-web-fullstack/capitolo-07-database-postgresql/006-javascript.js"
"parte-iii-web-fullstack/capitolo-07-database-postgresql.md","192","201","javascript","snippets/parte-iii-web-fullstack/capitolo-07-database-postgresql/007-javascript.js"
"parte-iii-web-fullstack/capitolo-07-database-postgresql.md","211","223","bash","snippets/parte-iii-web-fullstack/capitolo-07-database-postgresql/008-bash.sh"
"parte-iii-web-fullstack/capitolo-07-database-postgresql.md","229","231","bash","snippets/parte-iii-web-fullstack/capitolo-07-database-postgresql/009-bash.sh"
"parte-iii-web-fullstack/capitolo-07-database-postgresql.md","237","239","bash","snippets/parte-iii-web-fullstack/capitolo-07-database-postgresql/010-bash.sh"
"parte-iii-web-fullstack/capitolo-07-database-postgresql.md","279","285","markdown","snippets/parte-iii-web-fullstack/capitolo-07-database-postgresql/012-markdown.md"
"parte-iii-web-fullstack/capitolo-08-autenticazione-oauth2.md","62","79","env","snippets/parte-iii-web-fullstack/capitolo-08-autenticazione-oauth2/001-env.txt"
"parte-iii-web-fullstack/capitolo-08-autenticazione-oauth2.md","91","178","markdown","snippets/parte-iii-web-fullstack/capitolo-08-autenticazione-oauth2/002-markdown.md"
"parte-iii-web-fullstack/capitolo-08-autenticazione-oauth2.md","227","230","bash","snippets/parte-iii-web-fullstack/capitolo-08-autenticazione-oauth2/004-bash.sh"
"parte-iii-web-fullstack/capitolo-08-autenticazione-oauth2.md","233","235","bash","snippets/parte-iii-web-fullstack/capitolo-08-autenticazione-oauth2/005-bash.sh"
"parte-iii-web-fullstack/capitolo-08-autenticazione-oauth2.md","236","238","json","snippets/parte-iii-web-fullstack/capitolo-08-autenticazione-oauth2/006-json.json"
"parte-iii-web-fullstack/capitolo-08-autenticazione-oauth2.md","281","284","bash","snippets/parte-iii-web-fullstack/capitolo-08-autenticazione-oauth2/008-bash.sh"
"parte-iii-web-fullstack/capitolo-09-frontend-react.md","32","37","bash","snippets/parte-iii-web-fullstack/capitolo-09-frontend-react/001-bash.sh"
"parte-iii-web-fullstack/capitolo-09-frontend-react.md","48","51","bash","snippets/parte-iii-web-fullstack/capitolo-09-frontend-react/003-bash.sh"
"parte-iii-web-fullstack/capitolo-09-frontend-react.md","61","137","markdown","snippets/parte-iii-web-fullstack/capitolo-09-frontend-react/004-markdown.md"
"parte-iii-web-fullstack/capitolo-09-frontend-react.md","147","202","markdown","snippets/parte-iii-web-fullstack/capitolo-09-frontend-react/005-markdown.md"
"parte-iii-web-fullstack/capitolo-09-frontend-react.md","240","259","javascript","snippets/parte-iii-web-fullstack/capitolo-09-frontend-react/007-javascript.js"
"parte-iii-web-fullstack/capitolo-09-frontend-react.md","272","275","bash","snippets/parte-iii-web-fullstack/capitolo-09-frontend-react/008-bash.sh"
"parte-iii-web-fullstack/capitolo-09-frontend-react.md","278","281","bash","snippets/parte-iii-web-fullstack/capitolo-09-frontend-react/009-bash.sh"
"parte-iii-web-fullstack/capitolo-09-frontend-react.md","354","358","bash","snippets/parte-iii-web-fullstack/capitolo-09-frontend-react/013-bash.sh"
"parte-iii-web-fullstack/capitolo-10-integrazione-fullstack.md","41","47","bash","snippets/parte-iii-web-fullstack/capitolo-10-integrazione-fullstack/002-bash.sh"
"parte-iii-web-fullstack/capitolo-10-integrazione-fullstack.md","57","146","markdown","snippets/parte-iii-web-fullstack/capitolo-10-integrazione-fullstack/003-markdown.md"
"parte-iii-web-fullstack/capitolo-10-integrazione-fullstack.md","183","207","javascript","snippets/parte-iii-web-fullstack/capitolo-10-integrazione-fullstack/005-javascript.js"
"parte-iii-web-fullstack/capitolo-10-integrazione-fullstack.md","250","278","markdown","snippets/parte-iii-web-fullstack/capitolo-10-integrazione-fullstack/007-markdown.md"
"parte-iii-web-fullstack/capitolo-10-integrazione-fullstack.md","372","390","json","snippets/parte-iii-web-fullstack/capitolo-10-integrazione-fullstack/013-json.json"
"parte-iii-web-fullstack/capitolo-10-integrazione-fullstack.md","392","395","bash","snippets/parte-iii-web-fullstack/capitolo-10-integrazione-fullstack/014-bash.sh"
"parte-iii-web-fullstack/capitolo-10-integrazione-fullstack.md","424","428","bash","snippets/parte-iii-web-fullstack/capitolo-10-integrazione-fullstack/015-bash.sh"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","30","35","bash","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/001-bash.sh"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","39","41","bash","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/002-bash.sh"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","45","47","bash","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/003-bash.sh"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","51","53","bash","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/004-bash.sh"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","76","80","bash","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/005-bash.sh"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","96","98","bash","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/007-bash.sh"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","102","111","bash","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/008-bash.sh"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","121","203","markdown","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/009-markdown.md"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","211","246","markdown","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/010-markdown.md"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","250","264","dart","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/011-dart.dart"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","268","298","dart","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/012-dart.dart"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","302","315","dart","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/013-dart.dart"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","319","334","dart","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/014-dart.dart"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","374","376","bash","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/016-bash.sh"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","384","388","bash","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/017-bash.sh"
"parte-iv-flutter-mobile/capitolo-11-setup-flutter.md","415","448","dart","snippets/parte-iv-flutter-mobile/capitolo-11-setup-flutter/018-dart.dart"
"parte-iv-flutter-mobile/capitolo-12-flutter-backend.md","30","48","markdown","snippets/parte-iv-flutter-mobile/capitolo-12-flutter-backend/001-markdown.md"
"parte-iv-flutter-mobile/capitolo-12-flutter-backend.md","85","92","xml","snippets/parte-iv-flutter-mobile/capitolo-12-flutter-backend/004-xml.xml"
"parte-iv-flutter-mobile/capitolo-12-flutter-backend.md","98","108","xml","snippets/parte-iv-flutter-mobile/capitolo-12-flutter-backend/005-xml.xml"
"parte-iv-flutter-mobile/capitolo-12-flutter-backend.md","201","242","dart","snippets/parte-iv-flutter-mobile/capitolo-12-flutter-backend/011-dart.dart"
"parte-iv-flutter-mobile/capitolo-12-flutter-backend.md","295","299","bash","snippets/parte-iv-flutter-mobile/capitolo-12-flutter-backend/013-bash.sh"
"parte-iv-flutter-mobile/capitolo-13-release.md","23","41","markdown","snippets/parte-iv-flutter-mobile/capitolo-13-release/001-markdown.md"
"parte-iv-flutter-mobile/capitolo-13-release.md","109","127","dart","snippets/parte-iv-flutter-mobile/capitolo-13-release/006-dart.dart"
"parte-iv-flutter-mobile/capitolo-13-release.md","137","141","bash","snippets/parte-iv-flutter-mobile/capitolo-13-release/007-bash.sh"
"parte-iv-flutter-mobile/capitolo-13-release.md","158","164","bash","snippets/parte-iv-flutter-mobile/capitolo-13-release/009-bash.sh"
"parte-iv-flutter-mobile/capitolo-13-release.md","193","195","bash","snippets/parte-iv-flutter-mobile/capitolo-13-release/011-bash.sh"
"parte-iv-flutter-mobile/capitolo-13-release.md","307","347","yaml","snippets/parte-iv-flutter-mobile/capitolo-13-release/015-yaml.yaml"
"parte-iv-flutter-mobile/capitolo-13-release.md","355","359","bash","snippets/parte-iv-flutter-mobile/capitolo-13-release/016-bash.sh"
"parte-v-qualita-e-produzione/capitolo-14-testing-sicurezza.md","70","73","bash","snippets/parte-v-qualita-e-produzione/capitolo-14-testing-sicurezza/002-bash.sh"
"parte-v-qualita-e-produzione/capitolo-14-testing-sicurezza.md","120","123","bash","snippets/parte-v-qualita-e-produzione/capitolo-14-testing-sicurezza/005-bash.sh"
"parte-v-qualita-e-produzione/capitolo-14-testing-sicurezza.md","148","151","bash","snippets/parte-v-qualita-e-produzione/capitolo-14-testing-sicurezza/007-bash.sh"
"parte-v-qualita-e-produzione/capitolo-14-testing-sicurezza.md","340","343","bash","snippets/parte-v-qualita-e-produzione/capitolo-14-testing-sicurezza/013-bash.sh"
"parte-v-qualita-e-produzione/capitolo-14-testing-sicurezza.md","346","348","bash","snippets/parte-v-qualita-e-produzione/capitolo-14-testing-sicurezza/014-bash.sh"
"parte-v-qualita-e-produzione/capitolo-14-testing-sicurezza.md","381","385","bash","snippets/parte-v-qualita-e-produzione/capitolo-14-testing-sicurezza/015-bash.sh"
"parte-v-qualita-e-produzione/capitolo-15-deploy-produzione.md","52","63","bash","snippets/parte-v-qualita-e-produzione/capitolo-15-deploy-produzione/001-bash.sh"
"parte-v-qualita-e-produzione/capitolo-15-deploy-produzione.md","111","113","bash","snippets/parte-v-qualita-e-produzione/capitolo-15-deploy-produzione/003-bash.sh"
"parte-v-qualita-e-produzione/capitolo-15-deploy-produzione.md","119","122","bash","snippets/parte-v-qualita-e-produzione/capitolo-15-deploy-produzione/004-bash.sh"
"parte-v-qualita-e-produzione/capitolo-15-deploy-produzione.md","245","250","bash","snippets/parte-v-qualita-e-produzione/capitolo-15-deploy-produzione/008-bash.sh"
"parte-vi-avanzato/capitolo-16-pattern-avanzati.md","25","37","markdown","snippets/parte-vi-avanzato/capitolo-16-pattern-avanzati/001-markdown.md"
"parte-vi-avanzato/capitolo-16-pattern-avanzati.md","75","86","markdown","snippets/parte-vi-avanzato/capitolo-16-pattern-avanzati/003-markdown.md"
"parte-vi-avanzato/capitolo-16-pattern-avanzati.md","92","114","json","snippets/parte-vi-avanzato/capitolo-16-pattern-avanzati/004-json.json"
"parte-vi-avanzato/capitolo-16-pattern-avanzati.md","210","225","markdown","snippets/parte-vi-avanzato/capitolo-16-pattern-avanzati/008-markdown.md"
